10, 2; 10, 2; 10, 2; 10, 2; 10, 2;  192 Начальное решение
10, 2; 5, 5, 2; 5, 5, 2; 10, 2; 10, 2;  192
10, 2; 5, 5, 2; 5, 4, 3; 10, 2; 10, 2;  192
10, 2; 5, 4, 3; 5, 5, 2; 10, 2; 10, 2;  192
10, 2; 5, 4, 3; 5, 4, 3; 10, 2; 10, 2;  192
10, 2; 5, 5, 2; 10, 2; 5, 5, 2; 10, 2;  192
10, 2; 5, 5, 2; 10, 2; 5, 4, 3; 10, 2;  200
10, 2; 5, 4, 3; 10, 2; 5, 5, 2; 10, 2;  192
10, 2; 5, 4, 3; 10, 2; 5, 4, 3; 10, 2;  200
10, 2; 5, 5, 2; 10, 2; 10, 2; 5, 5, 2;  192
10, 2; 5, 5, 2; 10, 2; 10, 2; 5, 4, 3;  192
10, 2; 5, 4, 3; 10, 2; 10, 2; 5, 5, 2;  192
10, 2; 5, 4, 3; 10, 2; 10, 2; 5, 4, 3;  192
10, 2; 10, 2; 5, 5, 2; 5, 5, 2; 10, 2;  192
10, 2; 10, 2; 5, 5, 2; 5, 4, 3; 10, 2;  200
10, 2; 10, 2; 5, 4, 3; 5, 5, 2; 10, 2;  192
10, 2; 10, 2; 5, 4, 3; 5, 4, 3; 10, 2;  200
10, 2; 10, 2; 5, 5, 2; 10, 2; 5, 5, 2;  192
10, 2; 10, 2; 5, 5, 2; 10, 2; 5, 4, 3;  192
10, 2; 10, 2; 5, 4, 3; 10, 2; 5, 5, 2;  192
10, 2; 10, 2; 5, 4, 3; 10, 2; 5, 4, 3;  192
10, 2; 10, 2; 10, 2; 5, 5, 2; 5, 5, 2;  192
10, 2; 10, 2; 10, 2; 5, 5, 2; 5, 4, 3;  192
10, 2; 10, 2; 10, 2; 5, 4, 3; 5, 5, 2;  200
10, 2; 10, 2; 10, 2; 5, 4, 3; 5, 4, 3;  200
окрестность 1 вида
4, 4, 4; 10, 2; 10, 2; 10, 2; 10, 2;  192
10, 2; 4, 4, 4; 10, 2; 10, 2; 10, 2;  192
10, 2; 10, 2; 4, 4, 4; 10, 2; 10, 2;  192
10, 2; 10, 2; 10, 2; 4, 4, 4; 10, 2;  208
10, 2; 10, 2; 10, 2; 10, 2; 4, 4, 4;  192
комбинации типов
4, 4, 4; 4, 4, 4; 10, 2; 10, 2; 10, 2;  192
4, 4, 4; 10, 2; 4, 4, 4; 10, 2; 10, 2;  192
4, 4, 4; 10, 2; 10, 2; 4, 4, 4; 10, 2;  200
4, 4, 4; 10, 2; 10, 2; 10, 2; 4, 4, 4;  192
10, 2; 4, 4, 4; 4, 4, 4; 10, 2; 10, 2;  192
10, 2; 4, 4, 4; 10, 2; 4, 4, 4; 10, 2;  208
10, 2; 4, 4, 4; 10, 2; 10, 2; 4, 4, 4;  192
10, 2; 10, 2; 4, 4, 4; 4, 4, 4; 10, 2;  208
10, 2; 10, 2; 4, 4, 4; 10, 2; 4, 4, 4;  192
10, 2; 10, 2; 10, 2; 4, 4, 4; 4, 4, 4;  208
окрестность 1 вида
6, 2, 2, 2; 10, 2; 10, 2; 10, 2; 10, 2;  192
10, 2; 6, 2, 2, 2; 10, 2; 10, 2; 10, 2;  192
10, 2; 10, 2; 6, 2, 2, 2; 10, 2; 10, 2;  192
10, 2; 10, 2; 10, 2; 6, 2, 2, 2; 10, 2;  192
10, 2; 10, 2; 10, 2; 10, 2; 6, 2, 2, 2;  192
комбинации типов
6, 2, 2, 2; 6, 2, 2, 2; 10, 2; 10, 2; 10, 2;  192
6, 2, 2, 2; 10, 2; 6, 2, 2, 2; 10, 2; 10, 2;  192
6, 2, 2, 2; 10, 2; 10, 2; 6, 2, 2, 2; 10, 2;  192
6, 2, 2, 2; 10, 2; 10, 2; 10, 2; 6, 2, 2, 2;  192
10, 2; 6, 2, 2, 2; 6, 2, 2, 2; 10, 2; 10, 2;  192
10, 2; 6, 2, 2, 2; 10, 2; 6, 2, 2, 2; 10, 2;  192
10, 2; 6, 2, 2, 2; 10, 2; 10, 2; 6, 2, 2, 2;  192
10, 2; 10, 2; 6, 2, 2, 2; 6, 2, 2, 2; 10, 2;  192
10, 2; 10, 2; 6, 2, 2, 2; 10, 2; 6, 2, 2, 2;  192
10, 2; 10, 2; 10, 2; 6, 2, 2, 2; 6, 2, 2, 2;  192
окрестность 1 вида
5, 3, 2, 2; 10, 2; 10, 2; 10, 2; 10, 2;  192
10, 2; 5, 3, 2, 2; 10, 2; 10, 2; 10, 2;  192
10, 2; 10, 2; 5, 3, 2, 2; 10, 2; 10, 2;  192
10, 2; 10, 2; 10, 2; 5, 3, 2, 2; 10, 2;  192
10, 2; 10, 2; 10, 2; 10, 2; 5, 3, 2, 2;  192
комбинации типов
5, 3, 2, 2; 5, 3, 2, 2; 10, 2; 10, 2; 10, 2;  192
5, 3, 2, 2; 10, 2; 5, 3, 2, 2; 10, 2; 10, 2;  192
5, 3, 2, 2; 10, 2; 10, 2; 5, 3, 2, 2; 10, 2;  192
5, 3, 2, 2; 10, 2; 10, 2; 10, 2; 5, 3, 2, 2;  192
10, 2; 5, 3, 2, 2; 5, 3, 2, 2; 10, 2; 10, 2;  192
10, 2; 5, 3, 2, 2; 10, 2; 5, 3, 2, 2; 10, 2;  192
10, 2; 5, 3, 2, 2; 10, 2; 10, 2; 5, 3, 2, 2;  192
10, 2; 10, 2; 5, 3, 2, 2; 5, 3, 2, 2; 10, 2;  192
10, 2; 10, 2; 5, 3, 2, 2; 10, 2; 5, 3, 2, 2;  192
10, 2; 10, 2; 10, 2; 5, 3, 2, 2; 5, 3, 2, 2;  192
окрестность 1 вида
4, 4, 2, 2; 10, 2; 10, 2; 10, 2; 10, 2;  192
4, 3, 3, 2; 10, 2; 10, 2; 10, 2; 10, 2;  192
10, 2; 4, 4, 2, 2; 10, 2; 10, 2; 10, 2;  192
10, 2; 4, 3, 3, 2; 10, 2; 10, 2; 10, 2;  192
10, 2; 10, 2; 4, 4, 2, 2; 10, 2; 10, 2;  192
10, 2; 10, 2; 4, 3, 3, 2; 10, 2; 10, 2;  192
10, 2; 10, 2; 10, 2; 4, 4, 2, 2; 10, 2;  192
10, 2; 10, 2; 10, 2; 4, 3, 3, 2; 10, 2;  192
10, 2; 10, 2; 10, 2; 10, 2; 4, 4, 2, 2;  192
10, 2; 10, 2; 10, 2; 10, 2; 4, 3, 3, 2;  192
комбинации типов
4, 4, 2, 2; 4, 4, 2, 2; 10, 2; 10, 2; 10, 2;  192
4, 4, 2, 2; 4, 3, 3, 2; 10, 2; 10, 2; 10, 2;  192
4, 3, 3, 2; 4, 4, 2, 2; 10, 2; 10, 2; 10, 2;  192
4, 3, 3, 2; 4, 3, 3, 2; 10, 2; 10, 2; 10, 2;  192
4, 4, 2, 2; 10, 2; 4, 4, 2, 2; 10, 2; 10, 2;  192
4, 4, 2, 2; 10, 2; 4, 3, 3, 2; 10, 2; 10, 2;  192
4, 3, 3, 2; 10, 2; 4, 4, 2, 2; 10, 2; 10, 2;  192
4, 3, 3, 2; 10, 2; 4, 3, 3, 2; 10, 2; 10, 2;  192
4, 4, 2, 2; 10, 2; 10, 2; 4, 4, 2, 2; 10, 2;  192
4, 4, 2, 2; 10, 2; 10, 2; 4, 3, 3, 2; 10, 2;  192
4, 3, 3, 2; 10, 2; 10, 2; 4, 4, 2, 2; 10, 2;  192
4, 3, 3, 2; 10, 2; 10, 2; 4, 3, 3, 2; 10, 2;  192
4, 4, 2, 2; 10, 2; 10, 2; 10, 2; 4, 4, 2, 2;  192
4, 4, 2, 2; 10, 2; 10, 2; 10, 2; 4, 3, 3, 2;  192
4, 3, 3, 2; 10, 2; 10, 2; 10, 2; 4, 4, 2, 2;  192
4, 3, 3, 2; 10, 2; 10, 2; 10, 2; 4, 3, 3, 2;  192
10, 2; 4, 4, 2, 2; 4, 4, 2, 2; 10, 2; 10, 2;  192
10, 2; 4, 4, 2, 2; 4, 3, 3, 2; 10, 2; 10, 2;  192
10, 2; 4, 3, 3, 2; 4, 4, 2, 2; 10, 2; 10, 2;  192
10, 2; 4, 3, 3, 2; 4, 3, 3, 2; 10, 2; 10, 2;  192
10, 2; 4, 4, 2, 2; 10, 2; 4, 4, 2, 2; 10, 2;  192
10, 2; 4, 4, 2, 2; 10, 2; 4, 3, 3, 2; 10, 2;  192
10, 2; 4, 3, 3, 2; 10, 2; 4, 4, 2, 2; 10, 2;  192
10, 2; 4, 3, 3, 2; 10, 2; 4, 3, 3, 2; 10, 2;  192
10, 2; 4, 4, 2, 2; 10, 2; 10, 2; 4, 4, 2, 2;  192
10, 2; 4, 4, 2, 2; 10, 2; 10, 2; 4, 3, 3, 2;  192
10, 2; 4, 3, 3, 2; 10, 2; 10, 2; 4, 4, 2, 2;  192
10, 2; 4, 3, 3, 2; 10, 2; 10, 2; 4, 3, 3, 2;  192
10, 2; 10, 2; 4, 4, 2, 2; 4, 4, 2, 2; 10, 2;  192
10, 2; 10, 2; 4, 4, 2, 2; 4, 3, 3, 2; 10, 2;  192
10, 2; 10, 2; 4, 3, 3, 2; 4, 4, 2, 2; 10, 2;  192
10, 2; 10, 2; 4, 3, 3, 2; 4, 3, 3, 2; 10, 2;  192
10, 2; 10, 2; 4, 4, 2, 2; 10, 2; 4, 4, 2, 2;  192
10, 2; 10, 2; 4, 4, 2, 2; 10, 2; 4, 3, 3, 2;  192
10, 2; 10, 2; 4, 3, 3, 2; 10, 2; 4, 4, 2, 2;  192
10, 2; 10, 2; 4, 3, 3, 2; 10, 2; 4, 3, 3, 2;  192
10, 2; 10, 2; 10, 2; 4, 4, 2, 2; 4, 4, 2, 2;  192
10, 2; 10, 2; 10, 2; 4, 4, 2, 2; 4, 3, 3, 2;  192
10, 2; 10, 2; 10, 2; 4, 3, 3, 2; 4, 4, 2, 2;  192
10, 2; 10, 2; 10, 2; 4, 3, 3, 2; 4, 3, 3, 2;  192
окрестность 1 вида
3, 3, 3, 3; 10, 2; 10, 2; 10, 2; 10, 2;  192
10, 2; 3, 3, 3, 3; 10, 2; 10, 2; 10, 2;  192
