10, 2; 10, 2; 10, 2; 10, 2; 10, 2;  910 Начальное решение
4, 4, 2, 2; 10, 2; 4, 4, 2, 2; 10, 2; 10, 2;  910
4, 4, 2, 2; 10, 2; 4, 3, 3, 2; 10, 2; 10, 2;  910
4, 3, 3, 2; 10, 2; 4, 4, 2, 2; 10, 2; 10, 2;  910
4, 3, 3, 2; 10, 2; 4, 3, 3, 2; 10, 2; 10, 2;  910
4, 4, 2, 2; 10, 2; 10, 2; 4, 4, 2, 2; 10, 2;  910
4, 4, 2, 2; 10, 2; 10, 2; 4, 3, 3, 2; 10, 2;  910
4, 3, 3, 2; 10, 2; 10, 2; 4, 4, 2, 2; 10, 2;  910
4, 3, 3, 2; 10, 2; 10, 2; 4, 3, 3, 2; 10, 2;  910
4, 4, 2, 2; 10, 2; 10, 2; 10, 2; 4, 4, 2, 2;  910
4, 4, 2, 2; 10, 2; 10, 2; 10, 2; 4, 3, 3, 2;  910
4, 3, 3, 2; 10, 2; 10, 2; 10, 2; 4, 4, 2, 2;  910
4, 3, 3, 2; 10, 2; 10, 2; 10, 2; 4, 3, 3, 2;  910
10, 2; 4, 4, 2, 2; 4, 4, 2, 2; 10, 2; 10, 2;  910
10, 2; 4, 4, 2, 2; 4, 3, 3, 2; 10, 2; 10, 2;  910
10, 2; 4, 3, 3, 2; 4, 4, 2, 2; 10, 2; 10, 2;  910
10, 2; 4, 3, 3, 2; 4, 3, 3, 2; 10, 2; 10, 2;  910
10, 2; 4, 4, 2, 2; 10, 2; 4, 4, 2, 2; 10, 2;  910
10, 2; 4, 4, 2, 2; 10, 2; 4, 3, 3, 2; 10, 2;  910
10, 2; 4, 3, 3, 2; 10, 2; 4, 4, 2, 2; 10, 2;  910
10, 2; 4, 3, 3, 2; 10, 2; 4, 3, 3, 2; 10, 2;  910
10, 2; 4, 4, 2, 2; 10, 2; 10, 2; 4, 4, 2, 2;  910
10, 2; 4, 4, 2, 2; 10, 2; 10, 2; 4, 3, 3, 2;  910
10, 2; 4, 3, 3, 2; 10, 2; 10, 2; 4, 4, 2, 2;  910
10, 2; 4, 3, 3, 2; 10, 2; 10, 2; 4, 3, 3, 2;  910
10, 2; 10, 2; 4, 4, 2, 2; 4, 4, 2, 2; 10, 2;  910
10, 2; 10, 2; 4, 4, 2, 2; 4, 3, 3, 2; 10, 2;  910
10, 2; 10, 2; 4, 3, 3, 2; 4, 4, 2, 2; 10, 2;  910
10, 2; 10, 2; 4, 3, 3, 2; 4, 3, 3, 2; 10, 2;  910
10, 2; 10, 2; 4, 4, 2, 2; 10, 2; 4, 4, 2, 2;  910
10, 2; 10, 2; 4, 4, 2, 2; 10, 2; 4, 3, 3, 2;  910
10, 2; 10, 2; 4, 3, 3, 2; 10, 2; 4, 4, 2, 2;  910
10, 2; 10, 2; 4, 3, 3, 2; 10, 2; 4, 3, 3, 2;  910
10, 2; 10, 2; 10, 2; 4, 4, 2, 2; 4, 4, 2, 2;  910
10, 2; 10, 2; 10, 2; 4, 4, 2, 2; 4, 3, 3, 2;  910
10, 2; 10, 2; 10, 2; 4, 3, 3, 2; 4, 4, 2, 2;  910
10, 2; 10, 2; 10, 2; 4, 3, 3, 2; 4, 3, 3, 2;  910
окрестность 1 вида
3, 3, 3, 3; 10, 2; 10, 2; 10, 2; 10, 2;  910
10, 2; 3, 3, 3, 3; 10, 2; 10, 2; 10, 2;  910
10, 2; 10, 2; 3, 3, 3, 3; 10, 2; 10, 2;  910
10, 2; 10, 2; 10, 2; 3, 3, 3, 3; 10, 2;  910
10, 2; 10, 2; 10, 2; 10, 2; 3, 3, 3, 3;  910
комбинации типов
3, 3, 3, 3; 3, 3, 3, 3; 10, 2; 10, 2; 10, 2;  910
3, 3, 3, 3; 10, 2; 3, 3, 3, 3; 10, 2; 10, 2;  910
3, 3, 3, 3; 10, 2; 10, 2; 3, 3, 3, 3; 10, 2;  910
3, 3, 3, 3; 10, 2; 10, 2; 10, 2; 3, 3, 3, 3;  910
10, 2; 3, 3, 3, 3; 3, 3, 3, 3; 10, 2; 10, 2;  910
10, 2; 3, 3, 3, 3; 10, 2; 3, 3, 3, 3; 10, 2;  910
10, 2; 3, 3, 3, 3; 10, 2; 10, 2; 3, 3, 3, 3;  910
10, 2; 10, 2; 3, 3, 3, 3; 3, 3, 3, 3; 10, 2;  910
10, 2; 10, 2; 3, 3, 3, 3; 10, 2; 3, 3, 3, 3;  910
10, 2; 10, 2; 10, 2; 3, 3, 3, 3; 3, 3, 3, 3;  910
окрестность 1 вида
4, 2, 2, 2, 2; 10, 2; 10, 2; 10, 2; 10, 2;  910
10, 2; 4, 2, 2, 2, 2; 10, 2; 10, 2; 10, 2;  910
10, 2; 10, 2; 4, 2, 2, 2, 2; 10, 2; 10, 2;  910
10, 2; 10, 2; 10, 2; 4, 2, 2, 2, 2; 10, 2;  910
10, 2; 10, 2; 10, 2; 10, 2; 4, 2, 2, 2, 2;  910
комбинации типов
